GTFS sto_id,Stop Name,Year,Day Type,Boardings,Alightings,,,,,,,,,,,,
224,ATLANTIC AVE @ STATE ST-MARRI,FY2017,Weekday, -   ,1,,,,,,,,,,,,
225,ATLANTIC AVE @ COMMERCIAL WHA,FY2017,Weekday,1,2,,,,,,,,,,,,
226,COMMERCIAL ST @ FLEET ST,FY2017,Weekday,1,12,,,,,,,,,,,,
230,COMMERCIAL ST. @ HANOVER ST.,FY2017,Weekday,1,8,,,,,,,,,,,,
231,COMMERCIAL ST. OPP. HULL ST.,FY2017,Weekday,0,2,,,,,,,,,,,,
233,COMMERCIAL ST @ BATTERY ST,FY2017,Weekday,4,3,,,,,,,,,,,,
234,COMMERCIAL ST @ FLEET ST,FY2017,Weekday,5,1,,,,,,,,,,,,
236,ATLANTIC AVE @ STATE ST,FY2017,Weekday,6,0,,,,,,,,,,,,
238,CONGRESS ST @ SLEEPER ST,FY2017,Weekday,10,2,,,,,,,,,,,,
242,SEAPORT BLVD @ SEAPORT HOTEL,FY2017,Weekday,19,52,,,,,,,,,,,,
244,SUMMER ST @ E ST,FY2017,Weekday,11,68,,,,,,,,,,,,
246,SUMMER ST @ PAPPAS WAY,FY2017,Weekday,11,60,,,,,,,,,,,,
247,NORTHERN AVE @ HARBOR ST,FY2017,Weekday,12,190,,,,,,,,,,,,
249,B ST @ SILVER ST,FY2017,Weekday,14,32,,,,,,,,,,,,
250,B ST @ W 5TH ST,FY2017,Weekday,1,12,,,,,,,,,,,,
251,B ST @ W 6TH ST,FY2017,Weekday,1,4,,,,,,,,,,,,
252,W 7TH ST @ C ST,FY2017,Weekday,10,35,,,,,,,,,,,,
253,W 7TH ST @ D ST,FY2017,Weekday,15,74,,,,,,,,,,,,
254,W 7TH ST @ E ST,FY2017,Weekday,6,44,,,,,,,,,,,,
255,W 7TH ST @ F ST,FY2017,Weekday,8,52,,,,,,,,,,,,
256,W 7TH ST @ DORCHESTER ST,FY2017,Weekday,5,49,,,,,,,,,,,,
258,E 8TH ST @ DORCHESTER ST,FY2017,Weekday,14,66,,,,,,,,,,,,
259,E 8TH ST @ OLD HARBOR ST,FY2017,Weekday,8,39,,,,,,,,,,,,
260,E 8TH ST @ COVINGTON ST,FY2017,Weekday,2,26,,,,,,,,,,,,
261,E 8TH ST @ G ST,FY2017,Weekday,3,97,,,,,,,,,,,,
262,E 8TH ST @ H ST,FY2017,Weekday,5,94,,,,,,,,,,,,
263,E 8TH ST @ I ST,FY2017,Weekday,2,52,,,,,,,,,,,,
264,E 8TH ST @ K ST,FY2017,Weekday,3,77,,,,,,,,,,,,
265,E 8TH ST @ L ST,FY2017,Weekday,1,56,,,,,,,,,,,,
266,E 8TH ST @ M ST,FY2017,Weekday,1,33,,,,,,,,,,,,
267,E 8TH ST @ N ST,FY2017,Weekday,3,56,,,,,,,,,,,,
268,COLUMBIA RD @ O ST,FY2017,Weekday,0,25,,,,,,,,,,,,
269,W 7TH ST @ B ST,FY2017,Weekday,6,15,,,,,,,,,,,,
270,COLUMBIA RD @ P ST,FY2017,Weekday,1,39,,,,,,,,,,,,
275,E 8TH @ COLUMBIA RD,FY2017,Weekday,52,2,,,,,,,,,,,,
277,E 8TH ST @ M ST,FY2017,Weekday,59,0,,,,,,,,,,,,
278,E 8TH ST @ L ST,FY2017,Weekday,84,2,,,,,,,,,,,,
279,E 8TH ST @ K ST,FY2017,Weekday,87,2,,,,,,,,,,,,
280,E 8TH ST @ I ST,FY2017,Weekday,87,3,,,,,,,,,,,,
281,E 8TH ST @ H ST,FY2017,Weekday,151,4,,,,,,,,,,,,
282,E 8TH ST @ G ST,FY2017,Weekday,119,3,,,,,,,,,,,,
283,E 8TH ST @ COVINGTON ST,FY2017,Weekday,40,2,,,,,,,,,,,,
284,E 8TH ST @ OLD HARBOR ST,FY2017,Weekday,74,8,,,,,,,,,,,,
285,E 8TH ST @ MERCER ST,FY2017,Weekday,89,10,,,,,,,,,,,,
286,E 8TH ST @ DORCHESTER ST,FY2017,Weekday,98,12,,,,,,,,,,,,
287,DORCHESTER ST @ MERCER ST,FY2017,Weekday,56,9,,,,,,,,,,,,
288,W 6TH ST @ F ST,FY2017,Weekday,61,10,,,,,,,,,,,,
289,W 6TH ST @ E ST,FY2017,Weekday,66,4,,,,,,,,,,,,
290,W 6TH ST @ D ST,FY2017,Weekday,53,15,,,,,,,,,,,,
291,W 7TH ST @ D ST,FY2017,Weekday,60,4,,,,,,,,,,,,
292,W 7TH ST @ C ST,FY2017,Weekday,37,5,,,,,,,,,,,,
293,W 7TH @ B STREET,FY2017,Weekday,32,10,,,,,,,,,,,,
295,P ST @ E 5TH ST,FY2017,Weekday,10,0,,,,,,,,,,,,
296,P ST @ COLUMBIA RD,FY2017,Weekday,24,1,,,,,,,,,,,,
298,DORCHESTER AVE OPP KEMP ST,FY2017,Weekday,2,1,,,,,,,,,,,,
299,DORCHESTER AVE @ HOWELL ST,FY2017,Weekday,2,2,,,,,,,,,,,,
300,DORCHESTER AVE @ DORSET ST,FY2017,Weekday,3,2,,,,,,,,,,,,
301,DORCHESTER AVE @ MT VERNON ST,FY2017,Weekday,12,3,,,,,,,,,,,,
302,DORCHESTER AVE @ COLUMBIA RD,FY2017,Weekday, -   , -   ,,,,,,,,,,,,
303,DORCHESTER AVE @ EDISON GREEN,FY2017,Weekday,0,0,,,,,,,,,,,,
304,DORCHESTER AVE @ COTTAGE ST,FY2017,Weekday,14,8,,,,,,,,,,,,
305,DORCHSTER AVE @ HOWES ST,FY2017,Weekday,3,3,,,,,,,,,,,,
306,DORCHESTER AVE @ MAYFIELD ST,FY2017,Weekday,4,5,,,,,,,,,,,,
308,DORCHESTER AVE @ PEARL ST,FY2017,Weekday,3,3,,,,,,,,,,,,
309,DORCHESTER AVE @ THORNLEY RD,FY2017,Weekday,2,5,,,,,,,,,,,,
312,AUCKLAND ST @ DEWAR ST,FY2017,Weekday,7,8,,,,,,,,,,,,
317,DORCHESTER AVE @ HANCOCK ST,FY2017,Weekday,6,4,,,,,,,,,,,,
318,DORCHESTER AVE @ LINDEN ST,FY2017,Weekday,4,3,,,,,,,,,,,,
319,DORCHESTER AVE @ ELLET ST,FY2017,Weekday,24,17,,,,,,,,,,,,
320,DORCHESTER AVE @ ADAMS ST,FY2017,Weekday,3,7,,,,,,,,,,,,
322,GENEVA AVE OPP VINSON ST,FY2017,Weekday,17,75,,,,,,,,,,,,
323,FIELDS CORNER STATION @ RED L,FY2017,Weekday,"1,572","1,597",,,,,,,,,,,,
325,PARK ST BUSWAY @ DORCHESTER A,FY2017,Weekday,100,105,,,,,,,,,,,,
326,DORCHESTER AVE OPP GIBSON ST,FY2017,Weekday,4,3,,,,,,,,,,,,
327,DORCHESTER AVE @ MELVILLE AVE,FY2017,Weekday,0,1,,,,,,,,,,,,
328,1621 DORCHESTER AVE OPP DIX S,FY2017,Weekday,5,5,,,,,,,,,,,,
329,DORCHESTER AVE @ CENTRE ST,FY2017,Weekday,3,8,,,,,,,,,,,,
330,DORCHESTER AVE @ CHEVERUS RD,FY2017,Weekday,3,6,,,,,,,,,,,,
331,DORCHESTER AVE OPP SHEPTON ST,FY2017,Weekday,2,8,,,,,,,,,,,,
332,DORCHESTER AVE @ BANTON ST,FY2017,Weekday,1,10,,,,,,,,,,,,
334,ASHMONT STATION,FY2017,Weekday,"5,862","6,290",,,,,,,,,,,,
337,DORCHESTER AVE @ MSGR LYDON W,FY2017,Weekday,7,2,,,,,,,,,,,,
338,DORCHESTER AVE @ SHEPTON ST,FY2017,Weekday,12,2,,,,,,,,,,,,
339,DORCHESTER AVE @ KING ST,FY2017,Weekday,6,1,,,,,,,,,,,,
340,DORCHESTER AVE @ CENTRE ST,FY2017,Weekday,7,4,,,,,,,,,,,,
341,DORCHESTER AVE @ DIX ST,FY2017,Weekday,3,2,,,,,,,,,,,,
342,DORCHESTER AVE @ PARKMAN ST,FY2017,Weekday,1,1,,,,,,,,,,,,
343,DORCHESTER AVE @ GIBSON ST,FY2017,Weekday,2,3,,,,,,,,,,,,
345,DORCHESTER AVE OPP CHARLES ST,FY2017,Weekday,10,3,,,,,,,,,,,,
346,DORCHESTER AVE @ ADAMS ST,FY2017,Weekday,5,6,,,,,,,,,,,,
347,DORCHESTER AVE @ KIMBALL ST,FY2017,Weekday,9,17,,,,,,,,,,,,
348,DORCHESTER AVE @ LINDEN ST,FY2017,Weekday,6,6,,,,,,,,,,,,
