Stop #,Stop Name,Year,Day Type,Boardings,Alightings
210,SUMMER ST @ DRYDOCK AVE,FY2018,Weekday,50,14
212,SUMMER ST @ D ST,FY2018,Weekday,67,30
214,SEAPORT BLVD @ WORLD TRADE CE,FY2018,Weekday,9,0
215,NORTHERN AVE OPP FEDERAL COUR,FY2018,Weekday,1,26
218,CONGRESS ST @ SLEEPER ST,FY2018,Weekday,0,11
221,ATLANTIC AVE. @ CONGRESS ST.,FY2018,Weekday,5,32
222,ATLANTIC AVE @ SEAPORT BLVD.,FY2018,Weekday,0,0
223,ATLANTIC AVE @ ROWES WHARF,FY2018,Weekday, -   , -   
224,ATLANTIC AVE @ STATE ST-MARRI,FY2018,Weekday,1,1
225,ATLANTIC AVE @ COMMERCIAL WHA,FY2018,Weekday,0,1
226,COMMERCIAL ST @ FLEET ST,FY2018,Weekday,1,4
230,COMMERCIAL ST. @ HANOVER ST.,FY2018,Weekday,2,8
231,COMMERCIAL ST. OPP. HULL ST.,FY2018,Weekday, -   ,1
233,COMMERCIAL ST @ BATTERY ST,FY2018,Weekday,5,4
234,COMMERCIAL ST @ FLEET ST,FY2018,Weekday,1, -   
236,ATLANTIC AVE @ STATE ST,FY2018,Weekday,6, -   
238,CONGRESS ST @ SLEEPER ST,FY2018,Weekday,9,2
242,SEAPORT BLVD @ SEAPORT HOTEL,FY2018,Weekday,13,48
244,SUMMER ST @ E ST,FY2018,Weekday,3,54
246,SUMMER ST @ PAPPAS WAY,FY2018,Weekday,16,66
247,NORTHERN AVE @ HARBOR ST,FY2018,Weekday,12,172
249,B ST @ SILVER ST,FY2018,Weekday,10,28
250,B ST @ W 5TH ST,FY2018,Weekday,2,10
251,B ST @ W 6TH ST,FY2018,Weekday, -   ,1
252,W 7TH ST @ C ST,FY2018,Weekday,7,40
253,W 7TH ST @ D ST,FY2018,Weekday,18,70
254,W 7TH ST @ E ST,FY2018,Weekday,5,45
255,W 7TH ST @ F ST,FY2018,Weekday,4,59
256,W 7TH ST @ DORCHESTER ST,FY2018,Weekday,5,45
258,E 8TH ST @ DORCHESTER ST,FY2018,Weekday,18,67
259,E 8TH ST @ OLD HARBOR ST,FY2018,Weekday,6,40
260,E 8TH ST @ COVINGTON ST,FY2018,Weekday,2,26
261,E 8TH ST @ G ST,FY2018,Weekday,1,76
262,E 8TH ST @ H ST,FY2018,Weekday,4,95
263,E 8TH ST @ I ST,FY2018,Weekday,3,65
264,E 8TH ST @ K ST,FY2018,Weekday,1,66
265,E 8TH ST @ L ST,FY2018,Weekday,2,60
266,E 8TH ST @ M ST,FY2018,Weekday, -   ,31
267,E 8TH ST @ N ST,FY2018,Weekday, -   ,52
268,COLUMBIA RD @ O ST,FY2018,Weekday, -   ,16
269,W 7TH ST @ B ST,FY2018,Weekday,8,17
270,COLUMBIA RD @ P ST,FY2018,Weekday, -   ,30
275,E 8TH @ COLUMBIA RD,FY2018,Weekday,47,0
277,E 8TH ST @ M ST,FY2018,Weekday,49,0
278,E 8TH ST @ L ST,FY2018,Weekday,71,1
279,E 8TH ST @ K ST,FY2018,Weekday,83,2
280,E 8TH ST @ I ST,FY2018,Weekday,105,1
281,E 8TH ST @ H ST,FY2018,Weekday,153,4
282,E 8TH ST @ G ST,FY2018,Weekday,106,2
283,E 8TH ST @ COVINGTON ST,FY2018,Weekday,35,2
284,E 8TH ST @ OLD HARBOR ST,FY2018,Weekday,65,4
285,E 8TH ST @ MERCER ST,FY2018,Weekday,125,13
286,E 8TH ST @ DORCHESTER ST,FY2018,Weekday,114,15
288,W 6TH ST @ F ST,FY2018,Weekday,78,12
289,W 6TH ST @ E ST,FY2018,Weekday,78,4
290,W 6TH ST @ D ST,FY2018,Weekday,63,27
291,W 7TH ST @ D ST,FY2018,Weekday,68,6
292,W 7TH ST @ C ST,FY2018,Weekday,37,6
293,W 7TH @ B STREET,FY2018,Weekday,30,8
295,P ST @ E 5TH ST,FY2018,Weekday,8,0
296,P ST @ COLUMBIA RD,FY2018,Weekday,25,1
298,DORCHESTER AVE OPP KEMP ST,FY2018,Weekday,4,0
299,DORCHESTER AVE @ HOWELL ST,FY2018,Weekday,1,0
300,DORCHESTER AVE @ DORSET ST,FY2018,Weekday,2,2
301,DORCHESTER AVE @ MT VERNON ST,FY2018,Weekday,6,3
302,DORCHESTER AVE @ COLUMBIA RD,FY2018,Weekday, -   ,0
303,DORCHESTER AVE @ EDISON GREEN,FY2018,Weekday,2,1
304,DORCHESTER AVE @ COTTAGE ST,FY2018,Weekday,9,2
305,DORCHSTER AVE @ HOWES ST,FY2018,Weekday,3,1
306,DORCHESTER AVE @ MAYFIELD ST,FY2018,Weekday,4,4
308,DORCHESTER AVE @ PEARL ST,FY2018,Weekday,2,2
